City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,kaiyuan,23.6977,103.3037,19.53,93,100,1.95,CN,1690225695
323,imam qasim,32.298,44.6828,35.03,8,0,0.59,IQ,1690225696
324,melekeok village,7.4957,134.6367,26.31,94,75,2.57,PW,1690225696
325,minas de marcona,-15.2119,-75.1103,17.9,57,0,6.05,PE,1690225696
326,makanya,-4.3667,37.8333,20.1,74,6,1.58,TZ,1690225696
327,umm kaddadah,13.6017,26.6876,36.02,25,100,1.79,SD,1690225697
328,mount isa,-20.7333,139.5,11.87,58,37,7.2,AU,1690225551
329,riyadh,24.6877,46.7219,35.08,9,100,3.0,SA,1690225628
330,argo,37.6333,22.7333,30.99,54,0,0.76,GR,1690225697
331,preobrazheniye,42.9019,133.9064,19.6,99,100,2.76,RU,1690225698
332,avarua,-21.2078,-159.775,22.03,94,100,1.54,CK,1690225698
333,nieuw amsterdam,5.8833,-55.0833,34.01,49,40,2.57,SR,1690225698
334,seydisehir,37.4193,31.8453,21.33,43,0,4.16,TR,1690225699
335,kavieng,-2.5744,150.7967,27.3,78,100,4.51,PG,1690225699
336,ilebo,-4.3167,20.5833,27.6,39,46,0.26,CD,1690225699
337,badger,64.8,-147.5333,26.74,61,40,0.0,US,1690225699
338,nioro du rip,13.75,-15.8,30.46,62,97,3.64,SN,1690225699
339,aleksandrovsk-sakhalinskiy,50.8975,142.1561,15.63,96,73,1.3,RU,1690225700
340,saint-philippe,-21.3585,55.7679,20.77,84,38,3.29,RE,1690225700
341,tromso,69.6496,18.957,16.01,67,0,2.57,NO,1690225499
342,carnarvon,-24.8667,113.6333,15.82,76,4,4.87,AU,1690225678
343,istgah-e rah ahan-e garmsar,35.2346,52.3094,34.77,12,94,6.84,IR,1690225700
344,tateyama,34.9833,139.8667,25.1,88,1,3.42,JP,1690225696
345,topeka,39.0483,-95.678,33.21,42,0,7.2,US,1690225586
346,kuliyapitiya,7.4688,80.0401,27.82,91,100,2.78,LK,1690225701
347,hadibu,12.65,54.0333,25.2,80,36,9.15,YE,1690225701
348,guerrero negro,27.9769,-114.0611,25.74,51,99,6.28,MX,1690225701
349,bryne,58.7354,5.6477,16.8,84,20,4.63,NO,1690225702
350,kolonia,50.9333,6.95,18.25,85,20,2.57,DE,1690225633
351,batang,-6.4846,110.7083,24.83,83,6,2.45,ID,1690225702
352,puerto rosario,-24.45,-57.0833,33.35,22,0,3.16,PY,1690225702
353,koungou,-12.7336,45.2042,23.84,78,0,2.06,YT,1690225702
354,general mosconi,-23.1851,-62.303,18.77,42,100,4.7,AR,1690225703
355,estes park,40.3772,-105.5217,31.53,29,95,4.02,US,1690225605
356,crixas,-14.5489,-49.9692,33.28,21,0,3.63,BR,1690225703
357,laojunmiao,39.8333,97.7333,23.9,18,70,3.88,CN,1690225703
358,nuku'alofa,-21.1333,-175.2,16.19,94,20,1.03,TO,1690225703
359,morondava,-20.2833,44.2833,22.33,74,0,7.01,MG,1690225704
360,silale,55.4906,22.1814,16.1,89,14,2.4,LT,1690225704
